model,result_files,normalized_bugs,padded_bugs,truncated_bugs,missing_dataset,pass@1,pass@5,pass@10,plausible_bugs,plausible_patches,avg_aed,med_aed,avg_ccr,med_ccr,cached_avg_aed,cached_med_aed,cached_avg_ccr,cached_med_ccr,stale_aed_count,stale_ccr_count,no_op_all,no_op_all_pct,no_op_plausible
qwen2.5coder14b-d4j-n10-s7402,371,371,0,0,0,10.45822102425876,10.512129380053908,10.512129380053908,39,388,206.1340206185567,158.0,65.83306852468516,68.42105263157895,206.1340206185567,158.0,65.83350515463896,68.42,0,0,10,0.2695417789757413,0
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-d4j-n10-s7402,371,371,0,0,0,18.167115902964962,20.01561630941685,20.754716981132077,77,674,64.1513353115727,43.0,78.83705381383783,87.5,64.1513353115727,43.0,78.83731454005931,87.5,0,0,57,1.5363881401617252,10
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-d4j-n10-s7402,371,371,0,0,0,19.487870619946086,21.512001026825825,21.83288409703504,81,723,71.20746887966806,39.0,71.48565360201898,80.0,71.20746887966806,39.0,71.48564315352722,80.0,0,0,103,2.776280323450135,10
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-d4j-n10-s7402,371,371,0,0,0,14.932614555256066,16.31369528943653,16.711590296495956,62,554,47.22382671480145,28.0,78.78037964241797,85.71428571428571,47.22382671480145,28.0,78.78099277978323,85.71,0,0,133,3.5849056603773586,0
