model,result_files,normalized_bugs,padded_bugs,truncated_bugs,missing_dataset,pass@1,pass@5,pass@10,plausible_bugs,plausible_patches,avg_aed,med_aed,avg_ccr,med_ccr,cached_avg_aed,cached_med_aed,cached_avg_ccr,cached_med_ccr,stale_aed_count,stale_ccr_count,no_op_all,no_op_all_pct,no_op_plausible
qwen2.5coder14b-d4j-n5-s7401,371,371,0,0,0,20.32345013477089,21.024258760107816,21.024258760107816,78,377,169.26790450928382,123.0,70.78750501979606,78.26086956521739,169.26790450928382,123.0,70.78785145888581,78.26,0,0,10,0.5390835579514826,5
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-d4j-n5-s7401,371,371,0,0,0,20.431266846361183,22.911051212938006,22.911051212938006,85,379,79.7018469656992,34.0,74.68198020886277,83.33333333333334,79.7018469656992,34.0,74.68271767810006,83.33,0,0,27,1.4555256064690028,5
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-d4j-n5-s7401,371,371,0,0,0,22.10242587601078,23.71967654986523,23.71967654986523,88,410,60.72195121951219,26.0,80.72477166800392,88.88888888888889,60.72195121951219,26.0,80.72548780487777,88.89,0,0,51,2.7493261455525606,5
