model,result_files,normalized_bugs,padded_bugs,truncated_bugs,missing_dataset,pass@1,pass@5,pass@10,plausible_bugs,plausible_patches,avg_aed,med_aed,avg_ccr,med_ccr,cached_avg_aed,cached_med_aed,cached_avg_ccr,cached_med_ccr,stale_aed_count,stale_ccr_count,no_op_all,no_op_all_pct,no_op_plausible
qwen2.5coder14b-d4j-n10-s7401,371,371,0,0,0,20.377358490566035,21.005005775895263,21.024258760107816,78,756,169.16666666666666,123.0,70.70198658974769,78.26086956521739,169.16666666666666,123.0,70.70232804232805,78.26,0,0,20,0.5390835579514826,10
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-d4j-n10-s7401,371,371,0,0,0,20.242587601078167,22.7752107132161,23.71967654986523,88,751,79.43408788282291,34.0,74.85016858220088,83.33333333333334,79.43408788282291,34.0,74.85085219707051,83.33,0,0,53,1.4285714285714286,10
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-d4j-n10-s7401,371,371,0,0,0,22.156334231805936,24.129337269498993,24.797843665768195,92,822,61.18369829683698,26.0,80.49248757509308,88.88888888888889,61.18369829683698,26.0,80.49318734793188,88.89,0,0,100,2.6954177897574128,10
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-d4j-n10-s7401,371,371,0,0,0,23.045822102425884,24.625636418089254,25.067385444743934,93,855,63.52748538011696,34.0,79.91281551428739,88.88888888888889,63.52748538011696,34.0,79.91318128654976,88.89,0,0,171,4.609164420485175,10
