model,bugs,result_files,expected_patch_count,missing_results,padded_bugs,truncated_bugs,pass1_est,fixed0_pass,fixed0_plausible,fixed0_avg_aed,fixed0_med_aed,fixed0_avg_ccr,fixed0_med_ccr,all_plausible_patches,all_avg_aed,all_med_aed,all_avg_ccr,all_med_ccr,no_op_fixed0,no_op_fixed0_pct,no_op_all,no_op_plausible
deepseek-6.7b,371,371,10,0,0,0,5.795148247978435,6.738544474393531,25,141.0,117.0,69.79482847403243,75.0,215,142.89767441860465,113.0,70.64495465051642,75.0,92,24.797843665768195,933,0
deepseek-6.7b-trained-noprompt,371,371,10,0,0,0,3.746630727762802,4.8517520215633425,18,115.5,62.0,72.16315851399,76.38888888888889,139,76.63309352517986,44.0,76.14863348078775,80.0,159,42.857142857142854,1191,0
deepseek-6.7b-trained-prorepair,371,371,10,0,0,0,10.134770889487871,11.05121293800539,41,86.1219512195122,45.0,74.58022264826089,82.14285714285714,376,80.65691489361703,42.0,76.33553561332656,85.41666666666666,35,9.433962264150944,326,0
