model,bugs,result_files,expected_patch_count,missing_results,padded_bugs,truncated_bugs,pass1_est,fixed0_pass,fixed0_plausible,fixed0_avg_aed,fixed0_med_aed,fixed0_avg_ccr,fixed0_med_ccr,all_plausible_patches,all_avg_aed,all_med_aed,all_avg_ccr,all_med_ccr,no_op_fixed0,no_op_fixed0_pct,no_op_all,no_op_plausible
deepseek-6.7b,371,371,1,0,0,371,6.738544474393531,6.738544474393531,25,141.0,117.0,69.79482847403243,75.0,25,141.0,117.0,69.79482847403243,75.0,92,24.797843665768195,92,0
deepseek-6.7b-trained-noprompt,371,325,1,46,0,325,4.8517520215633425,4.8517520215633425,18,115.5,62.0,72.16315851399,76.38888888888889,18,115.5,62.0,72.16315851399,76.38888888888889,115,30.997304582210244,115,0
deepseek-6.7b-trained-prorepair,371,371,1,0,0,371,11.05121293800539,11.05121293800539,41,86.1219512195122,45.0,74.58022264826089,82.14285714285714,41,86.1219512195122,45.0,74.58022264826089,82.14285714285714,35,9.433962264150944,35,0
