model,instances,predictions,nonempty,nonempty_pct,avg_patch_chars,med_patch_chars,avg_patch_text_aed,med_patch_text_aed,avg_file_precision,avg_file_recall,avg_extra_file_count,avg_missing_file_count,predictions_path,patch_text_aed_n
qwen2.5coder14b-multiswe-smoke10-neutral-s7401,10,10,10,100.0,2703.5,2623.0,1045.75,978.0,1.0,0.855,0,0.8,analysis_outputs/multiswe_java_smoke10_generations_neutral/qwen2.5coder14b-multiswe-smoke10-neutral-s7401/predictions.jsonl,4
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,10,10,10,100.0,2397.5,1499.5,1014,930,1.0,0.8575,0,0.6,analysis_outputs/multiswe_java_smoke10_generations_neutral/qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401/predictions.jsonl,5
qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,10,10,10,100.0,2732.8,1508.5,894,802.5,1.0,0.9125,0,0.4,analysis_outputs/multiswe_java_smoke10_generations_neutral/qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401/predictions.jsonl,6
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401,10,10,10,100.0,2999.8,2207.0,850.5,847.0,1.0,0.9175,0,0.6,analysis_outputs/multiswe_java_smoke10_generations_neutral/qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620-multiswe-smoke10-neutral-s7401/predictions.jsonl,4
