model,bugs,result_files,expected_patch_count,missing_results,padded_bugs,truncated_bugs,pass1_est,fixed0_pass,fixed0_plausible,fixed0_avg_aed,fixed0_med_aed,fixed0_avg_ccr,fixed0_med_ccr,all_plausible_patches,all_avg_aed,all_med_aed,all_avg_ccr,all_med_ccr,no_op_fixed0,no_op_fixed0_pct,no_op_all,no_op_plausible
opencoder8b,371,371,1,0,0,371,7.277628032345014,7.277628032345014,27,169.62962962962962,89.0,74.70004156428263,83.33333333333334,27,169.62962962962962,89.0,74.70004156428263,83.33333333333334,1,0.2695417789757413,1,0
opencoder8b-sft,371,371,1,0,0,371,7.816711590296496,7.816711590296496,29,143.93103448275863,81.0,78.30247650470955,88.0,29,143.93103448275863,81.0,78.30247650470955,88.0,12,3.234501347708895,12,0
opencoder8b-paft,371,371,1,0,0,367,10.242587601078167,10.242587601078167,38,45.81578947368421,30.5,81.29068101055094,86.10038610038609,38,45.81578947368421,30.5,81.29068101055094,86.10038610038609,15,4.0431266846361185,15,0
opencoder8b-sft-v2opt-assistonly-neutral-lr5e5-e1-20260620,371,371,1,0,0,0,2.15633423180593,2.15633423180593,8,59.625,19.5,61.0813492063492,66.66666666666666,8,59.625,19.5,61.0813492063492,66.66666666666666,45,12.129380053908356,45,0
opencoder8b-paft-v2opt-assistonly-w125-lr5e5-e1-20260620,371,371,1,0,0,0,3.234501347708895,3.234501347708895,12,86.25,57.5,58.065725124548656,66.66666666666666,12,86.25,57.5,58.065725124548656,66.66666666666666,47,12.668463611859837,47,0
