model,bugs,result_files,expected_patch_count,missing_results,padded_bugs,truncated_bugs,pass1_est,fixed0_pass,fixed0_plausible,fixed0_avg_aed,fixed0_med_aed,fixed0_avg_ccr,fixed0_med_ccr,all_plausible_patches,all_avg_aed,all_med_aed,all_avg_ccr,all_med_ccr,no_op_fixed0,no_op_fixed0_pct,no_op_all,no_op_plausible
deepseek-v3,371,333,1,38,0,333,35.04043126684636,35.04043126684636,130,160.3153846153846,86.5,76.25862296745987,81.93473193473193,130,160.3153846153846,86.5,76.25862296745987,81.93473193473193,9,2.4258760107816713,9,0
dashscope-deepseek-v3-minimal,371,368,1,3,0,0,42.58760107816711,42.58760107816711,158,152.15822784810126,83.0,76.38475246947138,83.71212121212122,158,152.15822784810126,83.0,76.38475246947138,83.71212121212122,9,2.4258760107816713,9,1
dashscope-deepseek-v3-minimal-v3,371,371,1,0,0,0,45.28301886792453,45.28301886792453,168,106.18452380952381,58.0,79.45395242121688,85.71428571428571,168,106.18452380952381,58.0,79.45395242121688,85.71428571428571,12,3.234501347708895,12,1
qwen3-max,371,264,1,107,0,264,19.67654986522911,19.67654986522911,73,91.84931506849315,60.0,78.76296370891491,85.71428571428571,73,91.84931506849315,60.0,78.76296370891491,85.71428571428571,2,0.5390835579514826,2,0
qwen3-max-minimal,371,371,1,0,0,0,31.536388140161726,31.536388140161726,117,99.38461538461539,57.0,81.0118935598435,87.5,117,99.38461538461539,57.0,81.0118935598435,87.5,4,1.078167115902965,4,0
